"GEOID","population","percent_female","percent_white","population_under_15","daycares_3sfca","daycare_3sfca","TRACTCE","COUNTYFP"
511790104043,4003,41.4688983262553,77.566824881339,956,3.123635861091,3.12334655977602,"51179010404","51179"
511790104051,1820,56.2637362637363,82.1428571428571,401,2.98290768194872,2.98263315925838,"51179010405","51179"
511790104052,915,54.4262295081967,91.0382513661202,139,2.84004064163104,2.83985014535903,"51179010405","51179"
511790104053,4133,51.0041132349383,59.8112751028309,1039,2.67870027313087,2.67851367799654,"51179010405","51179"
511790104061,1224,46.9771241830065,89.2156862745098,185,3.19841999153813,3.1981291085053,"51179010406","51179"
511790104062,1962,55.249745158002,68.9602446483181,520,2.92742550016485,2.92715591092232,"51179010406","51179"
511790105021,597,53.2663316582915,89.9497487437186,71,2.98885281323623,2.98865309113679,"51179010502","51179"
511790105022,1392,37.2844827586207,93.3189655172414,204,3.13676988737421,3.13656989904872,"51179010502","51179"
511790105023,2365,49.8942917547569,89.1331923890063,559,2.55699322531736,2.55687474577025,"51179010502","51179"
511790105031,2153,51.6488620529494,86.5768694844403,452,2.18739883399745,2.1872713091718,"51179010503","51179"
511790105041,1771,48.8424618859401,84.3591191417278,326,2.26882356523462,2.2687376500453,"51179010504","51179"
511818601001,1177,49.5327102803738,43.7553101104503,123,2.39843772211348,2.39844689673333,"51181860100","51181"
511818601002,1117,50.4923903312444,50.1342882721576,209,2.86979079383532,2.86979292723072,"51181860100","51181"
511818601003,639,55.5555555555556,65.7276995305164,40,3.47481065849567,3.47481214797374,"51181860100","51181"
511818602001,811,42.6633785450062,60.9124537607892,73,1.91534162330134,1.9153464662968,"51181860200","51181"
511818602002,1100,53.9090909090909,64.1818181818182,155,4.10268305009788,4.10268341121549,"51181860200","51181"
511818602003,840,61.7857142857143,49.047619047619,167,5.20879260135505,5.208793061596,"51181860200","51181"
511818602004,839,48.7485101311085,41.3587604290822,145,4.52899074223264,4.52899167307783,"51181860200","51181"
511838701001,703,38.6913229018492,53.3428165007112,119,2.60882719112298,2.60882799577228,"51183870100","51183"
511838701002,810,48.3950617283951,42.7160493827161,145,2.92104704762034,2.92104710569199,"51183870100","51183"
511838701003,941,58.5547290116897,24.2295430393199,155,1.95288781242906,1.95288790951653,"51183870100","51183"
511838702011,2030,24.1871921182266,38.0295566502463,95,4.79003372175043,4.79003432572697,"51183870201","51183"
511838702012,853,46.189917936694,65.2989449003517,122,4.56586633635469,4.5658666818219,"51183870201","51183"
511838702021,1010,0,21.7821782178218,0,2.0157547249634,2.01575556403594,"51183870202","51183"
511838703001,732,48.7704918032787,6.28415300546448,100,3.73184087652319,3.73184167575219,"51183870300","51183"
511838703002,1176,52.4659863945578,35.7993197278912,218,3.92405558454193,3.92405639753227,"51183870300","51183"
511838703003,1195,46.3598326359833,49.3723849372385,120,3.82312438045174,3.82312519490809,"51183870300","51183"
511838704001,1078,50.4638218923933,48.60853432282,186,3.78765932362464,3.78766029479551,"51183870400","51183"
511838704002,849,46.4075382803298,53.7102473498233,211,3.72599188714073,3.72599278554364,"51183870400","51183"
511850201001,2312,30.1470588235294,84.7750865051903,128,4.70003071296861,4.70003071296861,"51185020100","51185"
511850201002,769,51.2353706111833,100,129,4.83951239213217,4.83951239213217,"51185020100","51185"
511850202001,1986,52.4672708962739,99.8992950654582,259,4.21905263667401,4.21905263667401,"51185020200","51185"
511850202002,723,47.5795297372061,98.3402489626556,117,5.9803528801394,5.9803528801394,"51185020200","51185"
511850202003,1641,51.3101767215113,78.3668494820232,234,6.25101987963385,6.25101987963385,"51185020200","51185"
511850202004,565,60.7079646017699,83.1858407079646,60,6.31591477804687,6.31591477804687,"51185020200","51185"
511850203001,1690,57.2189349112426,87.7514792899408,87,4.57433163054183,4.57433163054183,"51185020300","51185"
511850203002,949,59.7471022128556,93.3614330874605,359,4.4382019575364,4.4382019575364,"51185020300","51185"
511850203003,838,45.9427207637232,100,35,3.02318636143911,3.02318636143911,"51185020300","51185"
511850203004,645,60,100,188,2.4696730380388,2.4696730380388,"51185020300","51185"
511850203005,750,58.6666666666667,100,40,1.29317122168025,1.29317122168025,"51185020300","51185"
511850203006,574,52.0905923344948,97.0383275261324,42,1.86133531462835,1.86133531462835,"51185020300","51185"
511850203007,926,46.8682505399568,100,212,3.62636640582699,3.62636640582699,"51185020300","51185"
511850204001,979,59.9591419816139,100,218,2.27546296349823,2.27546296349823,"51185020400","51185"
511850204002,934,58.0299785867238,95.3961456102784,166,2.86074775210695,2.86074775210695,"51185020400","51185"
511850204003,685,44.0875912408759,93.2846715328467,55,2.3069726196263,2.3069726196263,"51185020400","51185"
511850204004,1310,48.1679389312977,99.0076335877863,208,0.838275986694529,0.838275986694529,"51185020400","51185"
511850205001,2061,52.4987869966036,94.2261038330907,323,2.03265054991436,2.03265054991436,"51185020500","51185"
511850205002,1033,53.0493707647628,94.9661181026137,259,1.76734473674517,1.76734473674517,"51185020500","51185"
511850206001,2683,49.4595601938129,99.1427506522549,528,2.5725567811346,2.5725567811346,"51185020600","51185"
511850206002,615,49.1056910569106,100,92,2.25363158550764,2.25363158550764,"51185020600","51185"
511850206003,1204,44.5182724252492,93.3554817275748,251,0.720099106467343,0.720099106467343,"51185020600","51185"
511850207001,1198,54.9248747913189,96.1602671118531,215,0.780170830255726,0.780170830255726,"51185020700","51185"
511850207002,1598,51.6896120150188,83.4793491864831,367,4.40833884196669,4.40833884196669,"51185020700","51185"
511850208001,1235,48.0161943319838,98.0566801619433,161,5.10303081894737,5.10303081894737,"51185020800","51185"
511850208002,889,45.3318335208099,95.7255343082115,181,4.10568670400544,4.10568670400544,"51185020800","51185"
511850209001,1409,51.0290986515259,97.6579134137686,254,1.48126065939314,1.48126065939314,"51185020900","51185"
511850209002,751,50.1997336884154,100,183,0.167130408875907,0.167130408875907,"51185020900","51185"
511850210001,1012,51.8774703557312,100,247,2.38687707494122,2.38687707494122,"51185021000","51185"
511850210002,1261,51.704996034893,100,154,2.20481018076608,2.20481018076608,"51185021000","51185"
